A,B,C,D,E,F,G,H,I,J,K,L,R,S,T,U,V,W
36.0596,30.6113,30.1656,11.6709,16.0015,10.3969,10.8964,12.1593,18.2379,5.4151,17.0939,76.6428,18.8068,38.4582,7.8177,8.1547,8.7505,11.2064
32.8543,55.4830,66.1696,18.8530,36.8034,26.7349,10.3775,12.1593,18.2379,6.6648,18.9932,74.6521,26.5508,42.6159,8.5995,8.1547,9.6256,8.9651
35.2583,32.5245,33.0848,11.6709,16.0015,13.3675,9.8586,11.1866,17.8326,6.2482,17.0939,73.6567,17.7005,48.8523,7.0360,7.3392,8.7505,11.2064
131.4172,150.1866,92.4429,56.5591,96.8089,51.9846,46.6988,58.8512,58.7664,9.5806,22.7918,80.6243,115.0535,64.4435,11.7266,11.4165,20.1262,13.4477
185.1060,75.5716,72.0081,60.1501,36.0033,12.6248,53.9631,51.5556,49.8502,7.0813,20.2594,77.6382,60.8456,38.4582,8.5995,8.1547,14.0008,10.0858
368.6093,244.8903,230.6206,36.8083,39.2036,29.7055,8.8209,16.5367,30.8017,4.5820,25.9574,125.4155,19.9131,40.5371,8.5995,8.1547,8.7505,8.9651
168.2781,88.0074,35.0310,65.5367,32.0029,9.6543,15.5663,23.3459,40.1233,5.4151,18.9932,82.6150,90.7153,38.4582,10.9448,8.1547,10.5006,10.0858
39.2649,45.9169,125.5277,12.5687,32.8030,38.6171,16.6040,12.6457,18.6431,9.1640,18.9932,72.6614,32.0822,53.0100,7.8177,8.9701,11.3757,12.3270
261.2318,209.4960,169.3164,42.1949,103.2095,63.8668,32.6892,30.6415,33.6387,9.1640,22.7918,73.6567,43.1451,43.6553,7.8177,8.1547,11.3757,10.0858
124.2053,140.6206,87.5774,26.9329,56.0051,21.5365,29.5759,27.7233,27.5594,5.8317,18.3601,74.6521,56.4205,37.4188,8.5995,8.1547,13.1258,10.0858
118.5960,249.6733,96.3352,54.7635,66.4061,12.6248,14.5285,19.9413,28.3700,4.5820,18.9932,82.6150,44.2513,38.4582,9.3813,8.1547,10.5006,8.9651
205.9404,175.0583,108.0122,35.0128,67.2062,43.0730,13.4908,18.4822,32.0176,7.4978,22.1587,84.6057,29.8697,44.6947,8.5995,8.9701,10.5006,11.2064
153.0530,61.2226,82.7120,23.3418,34.4031,25.9923,24.9060,18.4822,25.5330,8.7475,18.3601,77.6382,80.7587,75.8771,10.9448,11.4165,17.5010,15.6890
104.9735,65.0490,43.7887,26.9329,31.2029,17.8233,11.4153,13.6185,22.2907,5.4151,19.6263,75.6475,24.3382,36.3794,7.8177,7.3392,9.6256,8.9651
38.4636,40.1773,36.0041,16.1597,27.2025,17.0807,33.2080,27.2369,22.2907,7.0813,17.7270,77.6382,36.5074,85.2318,7.8177,9.7856,17.5010,13.4477
69.7152,95.6603,40.8695,31.4217,19.2018,8.1690,17.1229,13.6185,29.1806,4.9986,18.3601,83.6103,29.8697,36.3794,8.5995,7.3392,10.5006,10.0858
299.6954,168.3621,153.7471,35.0128,97.6089,63.1242,32.1703,30.1552,26.7489,8.7475,21.5256,74.6521,78.5462,74.8376,10.1631,11.4165,18.3761,12.3270
88.9470,94.7037,78.8197,16.1597,44.0040,36.3892,11.9341,13.1321,18.6431,7.9144,19.6263,71.6660,27.6571,40.5371,7.8177,8.1547,9.6256,10.0858
90.5497,73.6584,100.2275,61.9456,20.8019,11.1396,9.3398,15.0776,27.9647,4.5820,24.6912,117.4526,19.9131,37.4188,7.8177,7.3392,8.7505,8.9651
69.7152,56.4396,43.7887,17.9553,31.2029,22.2791,14.0096,17.5094,22.2907,8.3309,18.9932,74.6521,19.9131,44.6947,7.8177,8.1547,10.5006,10.0858
64.1060,79.3980,40.8695,40.3993,33.6031,11.1396,11.4153,21.4004,31.2070,5.4151,21.5256,92.5686,51.9953,36.3794,10.1631,8.1547,10.5006,10.0858
86.5430,116.7055,122.6084,51.1725,42.4039,21.5365,7.7831,12.1593,23.1013,4.9986,20.8925,91.5732,34.2948,42.6159,10.1631,8.9701,9.6256,10.0858
115.3907,89.9207,155.6932,52.0703,28.8026,14.1101,24.3872,26.7505,33.2334,6.2482,27.2236,111.4805,28.7634,43.6553,9.3813,8.9701,10.5006,10.0858
83.3377,120.5319,56.4388,153.5175,51.2047,24.5070,23.8683,31.6143,47.8237,6.6648,21.5256,83.6103,69.6959,41.5765,10.9448,9.7856,12.2507,10.0858
112.9868,54.5264,39.8964,16.1597,17.6016,14.1101,14.5285,14.1048,22.6960,8.3309,18.3601,74.6521,17.7005,44.6947,7.8177,8.1547,9.6256,11.2064
423.0993,264.0223,251.0553,63.7412,76.0070,51.9846,73.1615,71.0105,61.6034,12.0799,25.3243,84.6057,76.3336,90.4288,14.0719,13.8629,18.3761,12.3270
561.7285,377.8581,215.0513,99.6517,94.4086,46.7862,54.4819,59.8239,59.1717,7.4978,20.8925,83.6103,81.8650,40.5371,11.7266,9.7856,14.8759,10.0858
222.7682,227.6714,99.2544,105.9360,130.4119,74.2637,38.9157,68.5787,79.4360,9.9971,22.1587,77.6382,53.1016,74.8376,9.3813,10.6011,16.6260,13.4477
69.7152,54.5264,46.7080,12.5687,22.4021,18.5659,11.4153,11.1866,18.2379,7.0813,17.0939,72.6614,17.7005,39.4976,7.0360,7.3392,9.6256,10.0858
361.3973,133.9244,221.8628,48.4792,31.2029,17.8233,16.6040,26.2642,44.5814,7.0813,27.2236,113.4712,23.2320,43.6553,9.3813,8.9701,10.5006,11.2064
352.5828,161.6658,514.7608,52.0703,48.8045,24.5070,172.7856,150.2894,50.6607,20.4108,26.5905,75.6475,61.9519,55.0888,10.9448,10.6011,15.7509,10.0858
165.8742,131.0546,126.5008,39.5016,60.0055,38.6171,17.6418,18.4822,25.1277,9.1640,22.7918,75.6475,36.5074,44.6947,8.5995,8.9701,10.5006,10.0858
225.9735,194.1903,130.3931,62.8434,40.0037,15.5954,12.9719,15.5640,27.9647,4.9986,20.8925,91.5732,24.3382,37.4188,8.5995,7.3392,8.7505,8.9651
120.1987,100.4433,110.9314,34.1150,35.2032,22.2791,17.1229,16.5367,23.5066,5.8317,18.3601,69.6753,33.1885,47.8129,7.8177,8.1547,11.3757,10.0858
157.8609,134.8810,395.0716,51.1725,54.4050,28.9629,39.4346,28.2097,35.6651,12.4964,20.8925,71.6660,33.1885,46.7735,8.5995,9.7856,14.8759,21.2922
146.6424,112.8791,102.1737,42.1949,48.0044,27.4776,20.7550,19.4549,26.3436,7.9144,20.2594,72.6614,40.9325,42.6159,8.5995,8.1547,11.3757,10.0858
153.0530,113.8357,101.2006,42.1949,46.4043,27.4776,17.1229,18.9686,25.1277,7.0813,20.2594,75.6475,33.1885,39.4976,8.5995,8.1547,10.5006,10.0858
88.9470,68.8754,71.0350,27.8307,26.4024,15.5954,14.5285,15.0776,21.8854,5.4151,17.7270,69.6753,24.3382,38.4582,7.0360,7.3392,9.6256,8.9651
231.5828,177.9281,161.5317,69.1278,67.2062,39.3598,26.4627,29.1824,34.8546,8.3309,23.4249,76.6428,54.2079,48.8523,9.3813,8.9701,13.1258,10.0858
205.9404,161.6658,155.6932,53.8658,60.8056,37.1319,20.2362,21.8868,29.9911,7.4978,23.4249,78.6335,38.7199,44.6947,8.5995,8.9701,10.5006,10.0858
131.4172,100.4433,93.4159,38.6038,46.4043,27.4776,22.8305,20.9141,25.5330,7.4978,20.2594,72.6614,39.8262,39.4976,8.5995,8.1547,10.5006,10.0858
122.6026,101.3999,135.2585,114.9137,44.0040,19.3086,128.1623,111.3795,51.0660,9.9971,21.5256,81.6196,32.0822,41.5765,9.3813,8.9701,12.2507,14.5683
148.2450,116.7055,90.4967,42.1949,40.0037,21.5365,19.1984,19.4549,25.1277,7.4978,18.9932,75.6475,27.6571,37.4188,7.8177,8.1547,9.6256,10.0858
169.0795,134.8810,294.8441,70.9233,53.6049,22.2791,72.6426,77.3334,46.6079,15.4122,27.2236,79.6289,33.1885,41.5765,9.3813,9.7856,10.5006,10.0858
129.0132,109.0527,151.8009,36.8083,32.8030,17.8233,25.4249,23.3459,41.7444,7.0813,27.2236,98.5408,25.4445,40.5371,7.8177,8.1547,9.6256,10.0858
173.8874,141.5772,139.1508,38.6038,58.4053,35.6466,14.0096,16.0503,24.3171,7.0813,20.8925,72.6614,27.6571,39.4976,7.8177,8.1547,9.6256,8.9651
169.0795,134.8810,136.2316,43.9904,45.6042,30.4481,18.6795,18.9686,25.9383,7.9144,18.9932,75.6475,33.1885,39.4976,8.5995,8.1547,9.6256,10.0858
218.7616,142.5338,365.8791,56.5591,44.8041,22.2791,30.6137,33.5598,33.2334,9.1640,22.7918,74.6521,84.0776,44.6947,10.1631,9.7856,15.7509,10.0858
